Index,Name,Age,Team,GP,GAA,SVPercent,W,L,SO,TIME,G,A,P,PIM,FantasyPoints
5,Sergei Bobrovsky,30,CBJ,62,2.58,0.913,37,24,9,3557,0,0,0,2,117
6,Marc-Andre Fleury,34,VGK,61,2.51,0.913,35,21,8,3635,0,2,2,4,112
2,Carey Price,31,MTL,66,2.49,0.918,35,24,4,3880,0,1,1,2,109
15,Andrei Vasilevski,24,TBL,53,2.4,0.925,39,10,6,3204,0,3,3,6,104
4,Martin Jones,28,SJS,62,2.94,0.896,36,19,3,3597,0,1,1,2,104
1,Devan Dubnyk,32,MIN,67,2.54,0.913,31,28,2,3855,0,2,2,2,102
3,Connor Hellebuyck,25,WPG,63,2.9,0.913,34,23,2,3704,0,3,3,4,101
8,Frederik Andersen,29,TOR,60,2.77,0.917,36,16,1,3510,0,1,1,2,98
9,Braden Holtby,29,WSH,59,2.82,0.911,32,19,3,3407,0,2,2,2,97
11,Pekka Rinne,36,NSH,56,2.42,0.918,30,19,4,3220,0,0,0,4,94
12,Darcy Kuemper,28,ARI,55,2.33,0.925,27,20,5,3251,0,2,2,14,92
7,Jacob Markström,28,VAN,60,2.77,0.912,28,23,1,3599,0,3,3,2,90
14,Mikko Koskinen,30,EDM,55,2.93,0.906,25,21,4,2992,0,2,2,2,88
10,John Gibson,25,ANA,58,2.84,0.917,26,22,2,3233,0,0,0,2,88
22,Ben Bishop,32,DAL,46,1.98,0.934,27,15,7,2637,0,2,2,2,87
17,Matt Murray,24,PIT,50,2.69,0.919,29,14,4,2880,0,0,0,4,87
24,Robin Lehner,27,NYI,46,2.13,0.93,25,13,6,2616,0,1,1,0,83
23,Tuukka Rask,31,BOS,46,2.48,0.912,27,13,4,2635,0,2,2,4,81
13,Jim Howard,34,DET,55,3.07,0.909,23,22,0,3053,0,1,1,2,78
28,Thomas Greiss,32,NYI,43,2.28,0.927,23,14,5,2294,0,1,1,4,76
26,David Rittich,26,CGY,45,2.61,0.911,27,9,1,2503,0,0,0,4,74
20,Semyon Varlamov,30,COL,49,2.87,0.909,20,19,2,2839,0,0,0,2,73
33,Jaroslav Halak,33,BOS,40,2.34,0.922,22,11,5,2308,0,4,4,0,72
32,Petr Mrazek,26,CAR,40,2.39,0.914,23,14,4,2387,0,1,1,6,71
25,Jake Allen,28,STL,46,2.83,0.905,19,17,3,2568,0,0,0,0,71
19,Craig Anderson,37,OTT,50,3.51,0.903,17,27,2,2785,0,2,2,0,71
16,Henrik Lundqvist,36,NYR,52,3.07,0.907,18,23,0,3089,0,3,3,0,70
29,Mike Smith,36,CGY,42,2.73,0.898,23,16,2,2400,0,3,3,2,69
18,Carter Hutton,33,BUF,50,3.0,0.908,18,25,0,2840,0,1,1,2,68
21,Jonathan Quick,32,LAK,46,3.38,0.888,16,23,2,2648,0,2,2,6,66
45,Jordan Binnington,25,STL,32,1.89,0.927,24,5,5,1876,0,0,0,0,66
27,Roberto Luongo,39,FLA,43,3.12,0.899,18,16,1,2347,0,1,1,0,63
30,Keith Kinkaid,29,NJD,41,3.36,0.891,15,18,3,2302,0,0,0,0,62
36,Philipp Grubauer,27,COL,37,2.64,0.917,18,9,3,2021,0,0,0,0,61
31,Anton Khudobin,32,DAL,41,2.57,0.923,16,17,2,2220,0,0,0,2,61
42,Curtis McElhinney,35,CAR,33,2.58,0.912,20,11,2,1978,0,0,0,0,57
