Index,Name,Age,Team,GP,GAA,SVPercent,W,L,SO,TIME,G,A,P,PIM,FantasyPoints,FantasyPointsPerGp
92,Maxime Lagace,27,PIT,1,0.0,1.0,1,0,1,60,0,0,0,0,4,4.0
5,Philipp Grubauer,29,COL,40,1.95,0.923,30,9,7,2367,0,2,2,0,84,2.1
66,Jeremy Swayman,22,BOS,10,1.5,0.945,7,3,2,602,0,0,0,0,21,2.1
9,Marc-Andre Fleury,36,VGK,36,1.99,0.928,26,10,6,2147,0,1,1,2,74,2.0555555555555554
65,Petr Mrazek,28,CAR,12,2.06,0.923,6,2,3,671,0,0,0,0,24,2.0
93,Stuart Skinner,22,EDM,1,5.03,0.868,1,0,0,60,0,0,0,0,2,2.0
91,Eric Comrie,25,NJD,1,3.0,0.909,1,0,0,60,0,0,0,0,2,2.0
90,Oscar Dansk,26,VGK,1,3.91,0.862,1,0,0,61,0,0,0,0,2,2.0
82,Spencer Knight,19,FLA,4,2.32,0.919,4,0,0,207,0,0,0,0,8,2.0
3,Andrei Vasilevski,26,TBL,42,2.21,0.925,31,10,5,2524,0,4,4,0,83,1.9761904761904763
41,Jack Campbell,28,TOR,22,2.15,0.921,17,3,2,1284,0,0,0,0,43,1.9545454545454546
10,Semyon Varlamov,32,NYI,36,2.04,0.929,19,11,7,2117,0,1,1,2,69,1.9166666666666667
38,Alexander Nedeljkovic,24,CAR,23,1.9,0.932,15,5,3,1392,0,1,1,2,44,1.9130434782608696
49,Ilya Samsonov,23,WSH,19,2.69,0.902,13,4,2,1093,0,1,1,0,36,1.894736842105263
39,Chris Driedger,26,FLA,23,2.07,0.927,14,6,3,1362,0,2,2,0,43,1.8695652173913044
42,Ilya Sorokin,25,NYI,22,2.17,0.918,13,6,3,1272,0,0,0,0,41,1.8636363636363635
21,Mike Smith,38,EDM,32,2.31,0.923,21,6,3,1847,0,2,2,6,59,1.84375
34,Kaapo Kähkönen,24,MIN,24,2.88,0.902,16,8,2,1414,0,0,0,2,44,1.8333333333333333
35,Tuukka Rask,33,BOS,24,2.28,0.913,15,5,2,1396,0,2,2,0,43,1.7916666666666667
48,Robin Lehner,29,VGK,19,2.29,0.913,13,4,1,1155,0,1,1,0,34,1.7894736842105263
46,Casey DeSmith,29,PIT,20,2.54,0.912,11,7,2,1132,0,1,1,0,35,1.75
70,Anthony Stolarz,26,ANA,8,2.2,0.926,4,3,1,464,0,1,1,0,14,1.75
72,Michael Hutchinson,30,TOR,8,2.42,0.919,4,2,1,422,0,0,0,0,14,1.75
11,Juuse Saros,25,NSH,36,2.28,0.927,21,11,3,2052,0,0,0,2,63,1.75
6,Tristan Jarry,25,PIT,39,2.75,0.909,25,9,2,2185,0,4,4,8,68,1.7435897435897436
1,Connor Hellebuyck,27,WPG,45,2.58,0.916,24,17,4,2603,0,0,0,0,77,1.711111111111111
19,Cameron Talbot,33,MIN,33,2.63,0.915,19,8,2,1961,0,0,0,0,56,1.696969696969697
51,Adin Hill,24,ARI,19,2.74,0.913,9,9,2,1006,0,0,0,0,32,1.6842105263157894
50,Jaroslav Halak,35,BOS,19,2.53,0.905,9,6,2,1090,0,0,0,0,32,1.6842105263157894
43,Jonathan Quick,34,LAK,22,2.86,0.898,11,9,2,1219,0,0,0,0,37,1.6818181818181819
40,James Reimer,32,CAR,22,2.66,0.906,15,5,0,1331,0,0,0,0,37,1.6818181818181819
8,Vitek Vanecek,24,WSH,37,2.69,0.908,21,10,2,2115,0,0,0,0,62,1.6756756756756757
2,Jacob Markström,30,CGY,43,2.66,0.904,22,19,3,2508,0,0,0,2,71,1.6511627906976745
54,Ville Husso,25,STL,17,3.21,0.894,9,6,1,917,0,0,0,4,28,1.6470588235294117
24,Brian Elliott,35,PHI,30,3.06,0.889,15,9,2,1608,0,1,1,0,49,1.6333333333333333
52,Alexandar Georgiev,24,NYR,19,2.71,0.905,8,7,2,974,0,1,1,0,31,1.631578947368421
56,Malcolm Subban,27,CHI,16,3.2,0.9,6,8,2,881,0,0,0,0,26,1.625
23,Sergei Bobrovsky,32,FLA,31,2.91,0.906,19,8,0,1816,0,0,0,0,50,1.6129032258064515
36,Pekka Rinne,38,NSH,24,2.84,0.907,10,12,2,1310,0,1,1,0,38,1.5833333333333333
16,Igor Shestyorkin,25,NYR,35,2.62,0.916,16,14,2,1899,0,0,0,0,55,1.5714285714285714
59,Laurent Brossoit,27,WPG,14,2.42,0.919,6,6,1,744,0,0,0,0,22,1.5714285714285714
7,Kevin Lankinen,25,CHI,37,3.01,0.91,17,14,2,2175,0,2,2,2,58,1.5675675675675675
22,Anton Khudobin,34,DAL,32,2.54,0.905,12,11,3,1795,0,2,2,2,50,1.5625
32,Carey Price,33,MTL,25,2.64,0.901,12,7,1,1479,0,0,0,0,39,1.56
68,Keith Kinkaid,31,NYR,9,2.59,0.898,3,2,1,486,0,0,0,0,14,1.5555555555555556
69,Filip Gustavsson,22,OTT,9,2.16,0.933,5,1,0,472,0,0,0,0,14,1.5555555555555556
33,Frederik Andersen,31,TOR,24,2.96,0.895,13,8,0,1420,0,1,1,0,37,1.5416666666666667
30,Matt Murray,26,OTT,27,3.38,0.893,10,13,2,1404,0,1,1,2,41,1.5185185185185186
28,Darcy Kuemper,30,ARI,27,2.56,0.907,10,11,2,1547,0,0,0,4,41,1.5185185185185186
13,Thatcher Demko,25,VAN,35,2.85,0.915,16,18,1,2087,0,0,0,0,53,1.5142857142857142
80,Michael Houser,28,BUF,4,3.46,0.901,2,2,0,243,0,0,0,0,6,1.5
17,Martin Jones,30,SJS,34,3.28,0.896,15,13,1,1868,0,0,0,0,51,1.5
31,Mikko Koskinen,32,EDM,26,3.17,0.9,13,13,0,1438,0,2,2,0,39,1.5
88,Troy Grosenick,31,LAK,2,3.0,0.922,1,1,0,120,0,0,0,0,3,1.5
63,Curtis McElhinney,37,TBL,12,3.09,0.875,4,6,1,719,0,0,0,2,18,1.5
87,Matiss Kivlenieks,24,CBJ,2,3.41,0.901,1,1,0,123,0,0,0,0,3,1.5
84,Craig Anderson,39,WSH,4,2.13,0.916,2,1,0,169,0,0,0,0,6,1.5
89,Christopher Gibson,28,TBL,2,2.66,0.875,1,1,0,113,0,0,0,0,3,1.5
58,Jonas Johansson,25,COL,15,2.86,0.897,5,6,1,817,0,0,0,0,22,1.4666666666666666
12,Mackenzie Blackwood,24,NJD,35,3.04,0.902,14,17,1,2091,0,0,0,0,51,1.457142857142857
47,Linus Ullmark,27,BUF,20,2.63,0.917,9,6,0,1117,0,0,0,0,29,1.45
26,Jake Oettinger,22,DAL,29,2.36,0.911,11,8,1,1604,0,1,1,4,42,1.4482758620689655
55,Scott Wedgewood,28,NJD,16,3.11,0.9,3,8,2,888,0,0,0,0,23,1.4375
14,John Gibson,27,ANA,35,2.98,0.903,9,19,3,2031,0,0,0,2,50,1.4285714285714286
4,Jordan Binnington,27,STL,42,2.65,0.91,18,14,0,2448,0,1,1,2,60,1.4285714285714286
27,Elvis Merzlikins,26,CBJ,28,2.77,0.916,8,12,2,1497,0,1,1,0,40,1.4285714285714286
64,Antti Raanta,31,ARI,12,3.36,0.905,5,5,0,679,0,0,0,0,17,1.4166666666666667
29,Carter Hart,22,PHI,27,3.67,0.877,9,11,1,1456,0,0,0,2,38,1.4074074074074074
78,Daniel Vladar,23,BOS,5,3.4,0.886,2,2,0,300,0,0,0,0,7,1.4
25,Jake Allen,30,MTL,29,2.68,0.907,11,12,0,1703,0,0,0,2,40,1.3793103448275863
